Product Category,Product Length (cm),Product Width (cm),Product Height (cm),Fragility,Padding Type,Recommended Box Length (cm),Recommended Box Width (cm),Recommended Box Height (cm),Box Material,Truck Load Capacity (boxes),Fill Rate (%),CO2 Saved per Delivery (tons),Cost Saving per Delivery ($),Air Space Reduced (%),Product Volume (cm³),Box Volume (cm³),Air Space Saved (%),CO2 Saved (g),Old Box Volume (cm³),Cost Saved ($),Boxes Per Truck
Electronics,19.83,19.14,6.88,High,Air bubble,21.82,21.06,7.57,Hybrid eco-material,2,77.17,3.62,5.27,22.83,2611.277856,3478.6360440000003,24.933858472950387,1.7347163760000004,4174.3632528,0.2782908835199998,287
Electronics,28.25,16.58,2.83,Low,None,29.66,17.41,2.97,Plastic,6,90.54,2.06,3.6,9.459999999999994,1325.5295499999997,1533.650382,13.570291798095102,0.41624166400000057,1840.3804584,0.12269203055999997,652
Shoes,33.99,16.65,9.87,Medium,Foam,39.09,19.14,11.34,Recycled cardboard,1,85.31,4.82,2.72,14.689999999999998,5585.763644999999,8484.390684000002,34.16423343713155,5.797254078000005,10181.268820800002,0.67875125472,117
Home Decor,32.12,41.83,21.25,High,None,33.72,43.92,22.31,Corrugated board,0,75.07,4.86,0.0,24.930000000000007,28551.066499999997,33040.717344,13.588236590799363,8.979301688,39648.8608128,2.6432573875200003,30
Cosmetics,6.21,10.35,9.93,High,Foam,7.14,11.91,11.42,Plastic,10,83.01,3.9,7.78,16.989999999999995,638.235855,971.1271079999999,34.27885497765344,0.6657825059999998,1165.3525295999998,0.07769016863999996,1029
Electronics,17.31,18.24,4.72,Medium,Paper fill,18.69,19.7,5.1,Corrugated board,5,78.53,2.12,3.34,21.47,1490.2663679999996,1877.7842999999998,20.636977953218604,0.7750358640000005,2253.3411599999995,0.15022274399999988,532
Fragile Glassware,10.98,12.8,7.14,Medium,Foam,12.62,14.72,8.21,Recycled cardboard,6,92.7,3.31,2.04,7.299999999999997,1003.4841600000001,1525.1421440000001,34.20389280122076,1.0433159680000001,1830.1705728000002,0.12201137152000002,655
Shoes,22.9,17.2,12.15,Medium,Paper fill,24.73,18.57,13.12,Recycled cardboard,1,90.85,3.93,1.55,9.150000000000006,4785.642,6025.177632,20.572598978937464,2.4790712640000003,7230.2131584,0.48201421056,165
Cosmetics,14.67,5.16,4.71,High,Foam,16.87,5.94,5.42,Recycled cardboard,18,83.11,2.64,27.0,16.89,356.53381199999995,543.1262760000001,34.35526363670169,0.37318492800000025,651.7515312,0.04345010207999999,1841
Cosmetics,14.4,13.7,6.29,Low,Air bubble,15.84,15.07,6.92,Recycled cardboard,6,89.71,3.47,8.03,10.290000000000006,1240.8912,1651.864896,24.87937706014427,0.821947392,1982.2378752,0.13214919167999997,605
Shoes,23.64,16.49,8.1,Medium,None,24.82,17.31,8.51,Recycled cardboard,2,84.12,2.51,1.02,15.879999999999995,3157.57116,3656.1870419999996,13.637592285958322,0.9972317639999992,4387.424450399999,0.29249496335999975,273
Electronics,12.28,15.14,6.93,Low,None,12.9,15.9,7.27,Hybrid eco-material,6,81.75,4.51,28.96,18.25,1288.420056,1491.1497,13.595525922045248,0.40545928800000003,1789.3796399999999,0.11929197599999998,670
Home Decor,29.73,49.28,16.52,Medium,Air bubble,32.7,54.2,18.17,Corrugated board,0,90.28,3.78,0.0,9.72,24203.359488,32203.417800000007,24.842264761102495,16.000116624000018,38644.10136000001,2.5762734240000005,31
Electronics,15.48,17.09,3.34,High,Foam,17.8,19.65,3.85,Corrugated board,7,83.77,4.78,8.89,16.230000000000004,883.6076879999999,1346.6145,34.38302587711628,0.926013624,1615.9373999999998,0.10772915999999996,742
Electronics,25.82,15.59,5.01,Low,Air bubble,28.4,17.14,5.51,Hybrid eco-material,3,76.61,2.02,3.29,23.39,2016.6943379999998,2682.13576,24.81013198228267,1.3308828440000007,3218.562912,0.2145708607999999,372
Books,21.24,22.11,4.09,Low,Air bubble,23.37,24.32,4.5,Corrugated board,3,87.8,3.57,2.03,12.200000000000005,1920.7310759999998,2557.6128000000003,24.9014129112898,1.273763448000001,3069.13536,0.20460902399999997,390
Clothing,27.21,12.68,3.08,High,Paper fill,29.39,13.69,3.33,Recycled cardboard,7,87.54,4.35,8.71,12.459999999999994,1062.6702240000002,1339.822503,20.685745938691692,0.5543045579999998,1607.7870036000002,0.10718580024000003,746
Shoes,28.37,11.92,14.91,High,None,29.78,12.51,15.65,Plastic,1,92.25,4.96,0.79,7.75,5042.120664,5830.37307,13.519759311045243,1.5765048119999991,6996.447684,0.46642984560000006,171
Cosmetics,12.7,11.59,4.21,Low,Air bubble,13.97,12.75,4.63,Corrugated board,12,88.7,4.91,15.29,11.299999999999995,619.6825299999999,824.684025,24.85818674612984,0.4100029900000002,989.62083,0.06597472199999997,1212
Clothing,18.2,28.61,2.32,Medium,Foam,20.92,32.9,2.67,Corrugated board,5,83.69,3.0,4.58,16.310000000000002,1208.02864,1837.6755600000001,34.26322544116548,1.2592938400000002,2205.210672,0.14701404480000002,544
Cosmetics,5.43,12.4,9.4,Low,Air bubble,5.98,13.64,10.34,Recycled cardboard,11,84.7,2.35,13.46,15.299999999999995,632.9208,843.4048480000001,24.956466458442762,0.4209680960000003,1012.0858176000002,0.06747238784000001,1185
Cosmetics,10.93,8.26,3.59,Low,Foam,12.57,9.5,4.13,Recycled cardboard,20,81.52,2.29,14.41,18.480000000000004,324.11166199999997,493.18395000000004,34.28179039484153,0.33814457600000014,591.82074,0.03945471599999999,2027
Fragile Glassware,12.51,9.41,14.42,Low,Paper fill,13.51,10.17,15.57,Hybrid eco-material,4,77.9,4.78,11.89,22.099999999999994,1697.5094219999999,2139.266619,20.64993643506201,0.8835143940000003,2567.1199428,0.17114132952,467
Home Decor,31.2,33.73,8.88,Medium,Foam,35.89,38.79,10.22,Corrugated board,0,81.72,2.1,0.0,18.28,9345.098880000001,14228.009082,34.31899834937144,9.765820403999998,17073.6108984,1.1382407265599992,70
Books,17.05,22.77,2.83,Medium,Air bubble,18.75,25.05,3.12,Corrugated board,6,92.73,3.81,3.94,7.269999999999996,1098.686655,1465.425,25.026074005834488,0.7334766899999999,1758.51,0.11723400000000002,682
Clothing,26.56,21.95,3.38,High,Paper fill,28.69,23.71,3.65,Hybrid eco-material,4,92.24,2.65,4.14,7.760000000000005,1970.5129599999998,2482.875635,20.635857381555887,1.0247253500000002,2979.450762,0.19863005080000004,402
Cosmetics,7.79,12.3,7.89,Low,Air bubble,8.57,13.53,8.68,Plastic,9,83.68,2.67,5.02,16.319999999999993,755.99613,1006.4642279999999,24.885941400790646,0.500936196,1207.7570735999998,0.08051713823999994,993
Clothing,33.28,28.17,4.51,Low,None,34.94,29.58,4.73,Hybrid eco-material,2,89.67,3.51,2.77,10.329999999999998,4228.114176,4888.574196,13.510279143158154,1.3209200399999992,5866.2890351999995,0.39108593568,204
Home Decor,34.38,43.94,21.43,Medium,Paper fill,37.13,47.46,23.14,Corrugated board,0,76.66,4.26,0.0,23.340000000000003,32373.383796000002,40777.071972000005,20.608856324383673,16.807376352000006,48932.48636640001,3.262165757760001,24
Home Decor,48.5,23.98,10.92,Low,None,50.92,25.18,11.46,Hybrid eco-material,0,88.38,2.49,0.0,11.620000000000005,12700.2876,14693.617776000001,13.565959087732848,3.9866603520000026,17632.3413312,1.17548942208,68
Shoes,34.65,14.64,8.97,Low,Paper fill,37.42,15.81,9.69,Plastic,1,87.54,4.11,1.16,12.459999999999994,4550.26572,5732.702838,20.62617148340665,2.364874236,6879.2434056,0.45861622704000005,174
Electronics,17.7,16.29,6.25,Medium,Foam,20.35,18.73,7.18,Plastic,3,88.96,3.84,1.54,11.040000000000006,1802.0812499999997,2736.69649,34.15122003536462,1.8692304800000001,3284.0357879999997,0.21893571919999996,365
Fragile Glassware,20.75,6.62,22.62,High,None,21.79,6.95,23.75,Plastic,2,92.76,2.33,0.32,7.239999999999995,3107.1963000000005,3596.7118749999995,13.610085878786137,0.979031149999998,4316.054249999999,0.2877369499999999,278
Shoes,25.48,11.75,11.91,High,None,26.76,12.34,12.51,Corrugated board,2,77.77,3.0,5.13,22.230000000000004,3565.7349,4131.032184000001,13.684165574634521,1.1305945680000014,4957.238620800001,0.3304825747200001,242
Cosmetics,12.37,12.52,8.97,High,Air bubble,13.61,13.78,9.87,Corrugated board,5,81.41,4.69,16.99,18.590000000000003,1389.205428,1851.0770459999997,24.951506961747494,0.9237432359999994,2221.2924551999995,0.14808616367999994,540
Home Decor,28.31,21.9,11.9,High,Paper fill,30.58,23.65,12.86,Recycled cardboard,1,84.4,3.6,2.31,15.599999999999994,7377.869099999999,9300.570619999999,20.672941463026064,3.8454030399999994,11160.684743999998,0.7440456496,107
Books,21.78,15.52,3.69,Low,None,22.87,16.3,3.88,Hybrid eco-material,6,76.75,3.17,12.69,23.25,1247.314464,1446.39028,13.763630657141867,0.3981516320000001,1735.668336,0.11571122239999995,691
Electronics,12.19,11.31,7.58,Low,Paper fill,13.16,12.22,8.18,Corrugated board,7,85.41,3.88,5.12,14.590000000000003,1045.046262,1315.468336,20.55709488396229,0.5408441479999997,1578.5620032,0.10523746688000002,760
Clothing,24.48,19.56,6.43,Medium,None,25.7,20.54,6.75,Corrugated board,2,76.26,4.62,6.7,23.739999999999995,3078.8691839999997,3563.1764999999996,13.59201027510144,0.9686146319999999,4275.8117999999995,0.28505411999999997,280
Toys,22.35,16.86,14.69,Medium,Foam,25.7,19.38,16.89,Hybrid eco-material,1,84.16,3.7,2.04,15.840000000000003,5535.50049,8412.33474,34.19780998871664,5.7536685,10094.801688,0.6729867791999997,118
Books,17.58,13.9,2.94,Low,Foam,20.21,15.99,3.38,Corrugated board,9,82.06,3.37,7.43,17.939999999999998,718.42428,1092.2737020000002,34.22671637296273,0.7476988440000005,1310.7284424000002,0.08738189616,915
Clothing,29.24,17.13,7.84,Low,Air bubble,32.16,18.85,8.62,Corrugated board,1,77.34,4.98,2.8,22.66,3926.9086079999993,5225.58192,24.85222376917594,2.597346624000001,6270.698304,0.4180465536,191
Cosmetics,7.6,6.84,6.5,High,None,7.98,7.19,6.82,Plastic,25,94.56,2.44,2.93,5.439999999999998,337.89599999999996,391.30568400000004,13.649094859557442,0.10681936800000016,469.5668208,0.03130445471999999,2555
Clothing,25.67,14.19,2.15,Low,Paper fill,27.73,15.32,2.32,Hybrid eco-material,10,93.56,2.47,8.89,6.439999999999998,783.153195,985.590752,20.539717584525384,0.4048751139999999,1182.7089024,0.07884726016,1014
Toys,29.42,15.91,18.44,High,Air bubble,32.36,17.5,20.28,Hybrid eco-material,0,81.77,2.34,0.0,18.230000000000004,8631.251368000001,11484.564,24.844762343611816,5.706625263999999,13781.4768,0.9187651200000001,87
Shoes,22.09,15.51,10.16,High,Paper fill,23.86,16.75,10.97,Corrugated board,2,83.92,2.28,2.19,16.08,3480.9775440000003,4384.21535,20.60204013473015,1.8064756120000003,5261.05842,0.35073722799999996,228
Fragile Glassware,16.67,9.44,23.71,Low,Foam,19.17,10.86,27.27,Recycled cardboard,1,76.67,4.55,2.47,23.33,3731.119408,5677.237674,34.27931641672538,3.892236532,6812.6852088,0.4541790139199999,176
Electronics,29.52,12.73,5.92,High,None,30.99,13.37,6.22,Plastic,3,82.95,4.15,4.35,17.049999999999997,2224.674432,2577.1717859999994,13.67768170965068,0.7049947079999993,3092.606143199999,0.20617374287999993,388
Home Decor,31.18,28.54,12.03,High,Paper fill,33.68,30.82,12.99,Recycled cardboard,0,79.31,4.66,0.0,20.69,10705.222716,13483.848623999998,20.60706839332431,5.557251815999996,16180.618348799997,1.0787078899199996,74
Home Decor,44.11,28.66,21.11,High,Paper fill,47.64,30.95,22.8,Hybrid eco-material,0,77.79,3.76,0.0,22.209999999999997,26687.105786,33617.642400000004,20.615772312456993,13.86107322800001,40341.170880000005,2.6894113920000007,29
Fragile Glassware,11.06,24.77,15.51,Low,Foam,12.72,28.48,17.83,Hybrid eco-material,1,76.77,3.23,4.4,23.230000000000004,4249.060662,6459.195648,34.21687631778637,4.420269972,7751.0347776,0.51673565184,154
Home Decor,25.25,33.86,16.36,Low,Air bubble,27.77,37.25,17.99,Corrugated board,0,91.65,2.87,0.0,8.349999999999994,13987.2274,18609.440674999998,24.838002150217765,9.244426549999996,22331.328809999995,1.488755253999999,53
Books,27.52,14.56,3.24,Low,Paper fill,29.72,15.72,3.5,Recycled cardboard,6,90.82,2.46,6.21,9.180000000000009,1298.239488,1635.1943999999999,20.606413035661074,0.6739098239999999,1962.2332799999997,0.13081555199999995,611
Cosmetics,6.24,11.66,4.3,Medium,Air bubble,6.87,12.83,4.73,Corrugated board,24,75.57,4.29,92.68,24.430000000000007,312.86112,416.91213300000004,24.957540153910564,0.20810202600000002,500.2945596,0.03335297063999999,2398
Electronics,21.98,12.34,5.84,Medium,Paper fill,23.74,13.33,6.31,Hybrid eco-material,5,94.49,4.45,5.14,5.510000000000005,1584.001888,1996.8260019999996,20.6740153416732,0.8256482279999992,2396.1912023999994,0.15974608015999994,500
Shoes,32.68,11.63,8.41,Medium,Foam,37.58,13.37,9.67,Corrugated board,2,82.15,2.16,2.9,17.849999999999994,3196.375244,4858.639281999999,34.21254267955758,3.3245280759999987,5830.367138399999,0.38869114256,205
Toys,11.46,15.83,14.58,High,None,12.03,16.62,15.31,Corrugated board,3,90.33,2.55,0.94,9.670000000000002,2644.9840440000003,3061.0599660000003,13.592543975664151,0.832151844,3673.2719592000003,0.24488479728000004,326
Clothing,25.87,27.7,6.96,Medium,Foam,29.76,31.86,8.01,Plastic,1,76.92,3.74,1.1,23.08,4987.52904,7594.710336,34.32891026326036,5.214362592,9113.6524032,0.6075768268799999,131
Shoes,22.05,12.81,13.45,Medium,Paper fill,23.82,13.84,14.53,Corrugated board,2,77.05,2.46,1.28,22.950000000000003,3799.093725,4790.087664,20.688430118885602,1.981987877999999,5748.105196799999,0.38320701311999983,208
Fragile Glassware,20.9,16.17,18.79,Medium,None,21.95,16.98,19.73,Hybrid eco-material,1,93.32,2.35,0.47,6.680000000000007,6350.13687,7353.588030000001,13.645735332279695,2.006902320000001,8824.305636000001,0.5882870424000001,135
Shoes,27.19,13.12,10.54,High,Paper fill,29.37,14.16,11.38,Plastic,2,78.44,2.91,2.17,21.56,3759.9637119999998,4732.705296000001,20.553605668667885,1.9454831680000024,5679.246355200001,0.3786164236799999,211
